record_id,product_family_id,source,display_currency,cleaned_price,price_basis,participant_profile,price_recheck_date,comparison_service_window,rechecked_source_price,rechecked_source_currency,rechecked_price_basis,normalized_currency,normalized_price,fx_rate,fx_rate_date,fx_source,price_qa_status,price_analysis_eligible,recheck_provenance_url,exclusion_or_scope_note
APD02-025,PF-APD02-025,VIATOR,USD,51,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.viator.com/tours/Amsterdam/Amsterdam-Countryside-Bike-Tour-Including-Cheese-Tasting-and-Clog-Demonstration/d525-6464COUNTRY,Excluded: common service-window price not verified.
APD02-026,PF-APD02-026,VIATOR,USD,22.6,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.viator.com/tours/Amsterdam/1-hour-Amsterdam-Canal-Cruise-with-Local-Skipper/d525-463549P1,Excluded: common service-window price not verified.
APD02-027,PF-APD02-027,VIATOR,USD,23,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.viator.com/tours/Amsterdam/Amsterdam-Booze-Boat/d525-220898P2,Excluded: common service-window price not verified.
APD02-028,PF-APD02-028,VIATOR,USD,92,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.viator.com/tours/Amsterdam/Amsterdam-Jordaan-District-Food-Walking-Tour/d525-6624FOOD,Excluded: common service-window price not verified.
APD02-029,PF-APD02-029,VIATOR,USD,54.37,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.viator.com/tours/Amsterdam/Amsterdam-Cheese-Windmill-and-Countryside-Bike-Tour/d525-5525234P1,Excluded: common service-window price not verified.
APD02-030,PF-APD02-030,VIATOR,USD,,not_displayed,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.viator.com/tours/Amsterdam/Guilty-Pleasure-Food-and-Drink-Tour-Trough-Old-Amsterdam-and-Red-Light-District/d525-375412P1,Excluded: non-comparable or non-numeric basis.
APD02-031,PF-APD02-031,VIATOR,USD,23,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-Canal-Cruise-60-minutes/d525-21949P15,Excluded: common service-window price not verified.
APD02-032,PF-APD02-032,VIATOR,USD,,not_displayed,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.viator.com/tours/Amsterdam/Bike-Tour-of-Amsterdams-Highlights-and-Hidden-Gems/d525-71193P1,Excluded: non-comparable or non-numeric basis.
APD02-033,PF-MIKES-CITY-BIKE,VIATOR,USD,43.56,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.viator.com/en-GB/tours/Amsterdam/Amsterdam-City-Bike-Tour/d525-6464CITY,Excluded: common service-window price not verified.
APD02-034,PF-APD02-034,VIATOR,USD,,not_displayed,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.viator.com/tours/Amsterdam/Small-City-Bike-Tour/d525-100957P1,Excluded: non-comparable or non-numeric basis.
